1034567890;12;4;1001,1002
1098765432;6;3;2038
1122334455;24;5;5001
1000111222;2;4;3012,3045,3078
1029384756;18;5;4021
1056789012;3;2;5010
1100112233;9;4;6011,6012
1234567899;15;3;7015
1087456321;7;4;3005
1065432198;5;2;8043,8044
1010101010;10;5;9001,9002,9003
1155998844;20;5;10001
1077345123;13;4;11011,11012
1099988776;6;3;12007
1144223355;1;1;105320
1047852369;11;4;13009,13010
1166000123;8;5;14015
1188997744;4;3;15004,15005
1001001001;2;2;58720,32402,5302
1111111111;17;5;16016,16017
